idx,item,type,logprob
0,0,neg_main_good,-1.8486239910125732
0,0,neg_main_bad,-2.097315549850464
0,0,neg_arc_good,-2.286999225616455
0,0,neg_arc_bad,-2.0205254554748535
1,0,neg_main_good,-1.6105759143829346
1,0,neg_main_bad,-1.9042720794677734
1,0,neg_arc_good,-2.5220820903778076
1,0,neg_arc_bad,-2.247133493423462
2,1,neg_main_good,-1.4531515836715698
2,1,neg_main_bad,-2.051410436630249
2,1,neg_arc_good,-2.7568199634552
2,1,neg_arc_bad,-2.11665678024292
3,1,neg_main_good,-1.793663740158081
3,1,neg_main_bad,-2.4808366298675537
3,1,neg_arc_good,-3.1430211067199707
3,1,neg_arc_bad,-2.4027040004730225
4,2,neg_main_good,-1.5732626914978027
4,2,neg_main_bad,-1.9532248973846436
4,2,neg_arc_good,-2.4135828018188477
4,2,neg_arc_bad,-1.8776443004608154
5,2,neg_main_good,-1.6415904760360718
5,2,neg_main_bad,-2.0486536026000977
5,2,neg_arc_good,-2.325564384460449
5,2,neg_arc_bad,-2.0408501625061035
6,3,neg_main_good,-1.9598199129104614
6,3,neg_main_bad,-2.387434244155884
6,3,neg_arc_good,-2.937626600265503
6,3,neg_arc_bad,-2.444614887237549
7,3,neg_main_good,-2.1175098419189453
7,3,neg_main_bad,-2.6300668716430664
7,3,neg_arc_good,-3.010186195373535
7,3,neg_arc_bad,-2.448211431503296
8,4,neg_main_good,-2.7709269523620605
8,4,neg_main_bad,-3.099090099334717
8,4,neg_arc_good,-4.120944023132324
8,4,neg_arc_bad,-3.8550472259521484
9,4,neg_main_good,-2.8352770805358887
9,4,neg_main_bad,-3.2165846824645996
9,4,neg_arc_good,-3.8650155067443848
9,4,neg_arc_bad,-3.5253820419311523
10,5,neg_main_good,-2.651493787765503
10,5,neg_main_bad,-3.0170421600341797
10,5,neg_arc_good,-3.536134719848633
10,5,neg_arc_bad,-3.1666784286499023
11,5,neg_main_good,-2.6249446868896484
11,5,neg_main_bad,-2.9147143363952637
11,5,neg_arc_good,-3.312398910522461
11,5,neg_arc_bad,-3.051894187927246
12,6,neg_main_good,-2.346994400024414
12,6,neg_main_bad,-2.7024946212768555
12,6,neg_arc_good,-2.8235340118408203
12,6,neg_arc_bad,-2.4765827655792236
13,6,neg_main_good,-2.227799415588379
13,6,neg_main_bad,-2.688535213470459
13,6,neg_arc_good,-3.5571608543395996
13,6,neg_arc_bad,-3.197174310684204
14,7,neg_main_good,-1.619247317314148
14,7,neg_main_bad,-1.930922508239746
14,7,neg_arc_good,-2.338467597961426
14,7,neg_arc_bad,-2.09371018409729
15,7,neg_main_good,-2.0297913551330566
15,7,neg_main_bad,-2.446934700012207
15,7,neg_arc_good,-3.0713696479797363
15,7,neg_arc_bad,-2.7042579650878906
16,8,neg_main_good,-1.7296063899993896
16,8,neg_main_bad,-2.0392353534698486
16,8,neg_arc_good,-2.4255104064941406
16,8,neg_arc_bad,-1.9785007238388062
17,8,neg_main_good,-1.4150354862213135
17,8,neg_main_bad,-1.9020096063613892
17,8,neg_arc_good,-2.5125133991241455
17,8,neg_arc_bad,-2.1790716648101807
18,9,neg_main_good,-2.373398780822754
18,9,neg_main_bad,-2.44488787651062
18,9,neg_arc_good,-3.052459478378296
18,9,neg_arc_bad,-2.8506689071655273
19,9,neg_main_good,-1.9140206575393677
19,9,neg_main_bad,-2.2050576210021973
19,9,neg_arc_good,-2.892094850540161
19,9,neg_arc_bad,-2.6885013580322266
20,10,neg_main_good,-2.5729668140411377
20,10,neg_main_bad,-3.0823168754577637
20,10,neg_arc_good,-2.9474287033081055
20,10,neg_arc_bad,-2.668256998062134
21,10,neg_main_good,-2.160905361175537
21,10,neg_main_bad,-2.625722885131836
21,10,neg_arc_good,-3.4800570011138916
21,10,neg_arc_bad,-2.984269142150879
22,11,neg_main_good,-1.4523214101791382
22,11,neg_main_bad,-1.8249132633209229
22,11,neg_arc_good,-1.966532826423645
22,11,neg_arc_bad,-1.6554157733917236
23,11,neg_main_good,-1.4790223836898804
23,11,neg_main_bad,-1.8035650253295898
23,11,neg_arc_good,-2.8823771476745605
23,11,neg_arc_bad,-2.2938194274902344
24,12,neg_main_good,-1.9228880405426025
24,12,neg_main_bad,-2.6069881916046143
24,12,neg_arc_good,-2.7084922790527344
24,12,neg_arc_bad,-2.1932902336120605
25,12,neg_main_good,-2.2739152908325195
25,12,neg_main_bad,-2.701326847076416
25,12,neg_arc_good,-4.075067520141602
25,12,neg_arc_bad,-3.4966671466827393
26,13,neg_main_good,-1.8842705488204956
26,13,neg_main_bad,-2.5057082176208496
26,13,neg_arc_good,-2.3160598278045654
26,13,neg_arc_bad,-1.9832130670547485
27,13,neg_main_good,-1.6769267320632935
27,13,neg_main_bad,-2.094611644744873
27,13,neg_arc_good,-3.020020008087158
27,13,neg_arc_bad,-2.3157882690429688
28,14,neg_main_good,-2.445261001586914
28,14,neg_main_bad,-3.029395580291748
28,14,neg_arc_good,-2.745677947998047
28,14,neg_arc_bad,-2.3255362510681152
29,14,neg_main_good,-2.160994529724121
29,14,neg_main_bad,-2.563154697418213
29,14,neg_arc_good,-3.7580723762512207
29,14,neg_arc_bad,-3.128307580947876
30,15,neg_main_good,-1.6511166095733643
30,15,neg_main_bad,-2.139866352081299
30,15,neg_arc_good,-2.185784339904785
30,15,neg_arc_bad,-1.8276116847991943
31,15,neg_main_good,-1.488109827041626
31,15,neg_main_bad,-1.747865915298462
31,15,neg_arc_good,-3.0087552070617676
31,15,neg_arc_bad,-2.477210521697998
32,16,neg_main_good,-1.9777511358261108
32,16,neg_main_bad,-2.6009745597839355
32,16,neg_arc_good,-2.4191882610321045
32,16,neg_arc_bad,-2.0841307640075684
33,16,neg_main_good,-2.107351303100586
33,16,neg_main_bad,-2.4409170150756836
33,16,neg_arc_good,-3.745673179626465
33,16,neg_arc_bad,-3.0482611656188965
34,17,neg_main_good,-2.4938805103302
34,17,neg_main_bad,-3.3460612297058105
34,17,neg_arc_good,-3.1960721015930176
34,17,neg_arc_bad,-2.5940465927124023
35,17,neg_main_good,-2.2052090167999268
35,17,neg_main_bad,-2.8661341667175293
35,17,neg_arc_good,-3.3322861194610596
35,17,neg_arc_bad,-2.67466402053833
36,18,neg_main_good,-1.9935476779937744
36,18,neg_main_bad,-2.720642566680908
36,18,neg_arc_good,-2.7417755126953125
36,18,neg_arc_bad,-2.3010590076446533
37,18,neg_main_good,-1.8870587348937988
37,18,neg_main_bad,-2.300687789916992
37,18,neg_arc_good,-3.194589614868164
37,18,neg_arc_bad,-2.6583099365234375
38,19,neg_main_good,-2.0736351013183594
38,19,neg_main_bad,-2.721299886703491
38,19,neg_arc_good,-2.660970449447632
38,19,neg_arc_bad,-2.129422903060913
39,19,neg_main_good,-1.7638299465179443
39,19,neg_main_bad,-2.1775941848754883
39,19,neg_arc_good,-3.356802225112915
39,19,neg_arc_bad,-2.698511838912964
40,20,neg_main_good,-1.6927015781402588
40,20,neg_main_bad,-2.148934841156006
40,20,neg_arc_good,-3.3342599868774414
40,20,neg_arc_bad,-2.665253162384033
41,20,neg_main_good,-1.9342710971832275
41,20,neg_main_bad,-2.512784957885742
41,20,neg_arc_good,-3.296675205230713
41,20,neg_arc_bad,-2.6905007362365723
42,21,neg_main_good,-1.3891065120697021
42,21,neg_main_bad,-1.9370646476745605
42,21,neg_arc_good,-2.6454997062683105
42,21,neg_arc_bad,-2.0618839263916016
43,21,neg_main_good,-1.6491779088974
43,21,neg_main_bad,-2.3795413970947266
43,21,neg_arc_good,-2.8009166717529297
43,21,neg_arc_bad,-2.2266957759857178
44,22,neg_main_good,-2.0021963119506836
44,22,neg_main_bad,-2.281477928161621
44,22,neg_arc_good,-3.735929012298584
44,22,neg_arc_bad,-3.3593361377716064
45,22,neg_main_good,-2.136990547180176
45,22,neg_main_bad,-2.4849729537963867
45,22,neg_arc_good,-3.5020861625671387
45,22,neg_arc_bad,-3.1839065551757812
46,23,neg_main_good,-1.7130392789840698
46,23,neg_main_bad,-1.9985852241516113
46,23,neg_arc_good,-3.2248663902282715
46,23,neg_arc_bad,-2.725679397583008
47,23,neg_main_good,-1.7350208759307861
47,23,neg_main_bad,-2.300781011581421
47,23,neg_arc_good,-3.2712554931640625
47,23,neg_arc_bad,-2.762873888015747
48,24,neg_main_good,-1.9185326099395752
48,24,neg_main_bad,-2.2730002403259277
48,24,neg_arc_good,-2.802615165710449
48,24,neg_arc_bad,-2.5250213146209717
49,24,neg_main_good,-2.1281354427337646
49,24,neg_main_bad,-2.590916872024536
49,24,neg_arc_good,-3.2145910263061523
49,24,neg_arc_bad,-2.7335660457611084
50,25,neg_main_good,-2.132166862487793
50,25,neg_main_bad,-2.517303466796875
50,25,neg_arc_good,-3.471184253692627
50,25,neg_arc_bad,-3.2971274852752686
51,25,neg_main_good,-2.1168534755706787
51,25,neg_main_bad,-2.7063112258911133
51,25,neg_arc_good,-3.496925115585327
51,25,neg_arc_bad,-2.835275173187256
52,26,neg_main_good,-2.496213436126709
52,26,neg_main_bad,-2.6425299644470215
52,26,neg_arc_good,-3.966521739959717
52,26,neg_arc_bad,-3.7911949157714844
53,26,neg_main_good,-2.760981321334839
53,26,neg_main_bad,-3.198575019836426
53,26,neg_arc_good,-3.542018413543701
53,26,neg_arc_bad,-3.3191564083099365
54,27,neg_main_good,-1.7218785285949707
54,27,neg_main_bad,-2.3467979431152344
54,27,neg_arc_good,-3.0085062980651855
54,27,neg_arc_bad,-2.509531021118164
55,27,neg_main_good,-1.598495602607727
55,27,neg_main_bad,-2.1103789806365967
55,27,neg_arc_good,-2.877211570739746
55,27,neg_arc_bad,-2.644728660583496
56,28,neg_main_good,-2.2225658893585205
56,28,neg_main_bad,-2.464700698852539
56,28,neg_arc_good,-3.6626687049865723
56,28,neg_arc_bad,-3.3353490829467773
57,28,neg_main_good,-1.8343967199325562
57,28,neg_main_bad,-2.1407852172851562
57,28,neg_arc_good,-3.1408793926239014
57,28,neg_arc_bad,-2.7392120361328125
58,29,neg_main_good,-2.4983737468719482
58,29,neg_main_bad,-2.817920207977295
58,29,neg_arc_good,-3.335963487625122
58,29,neg_arc_bad,-3.220729351043701
59,29,neg_main_good,-2.3081228733062744
59,29,neg_main_bad,-2.456833839416504
59,29,neg_arc_good,-3.7434325218200684
59,29,neg_arc_bad,-3.4095287322998047
60,30,neg_main_good,-2.3552441596984863
60,30,neg_main_bad,-2.923612117767334
60,30,neg_arc_good,-2.711007833480835
60,30,neg_arc_bad,-2.24652361869812
61,30,neg_main_good,-1.893888235092163
61,30,neg_main_bad,-2.6594481468200684
61,30,neg_arc_good,-3.711880922317505
61,30,neg_arc_bad,-2.9494316577911377
62,31,neg_main_good,-2.181516647338867
62,31,neg_main_bad,-2.7429449558258057
62,31,neg_arc_good,-2.816149950027466
62,31,neg_arc_bad,-2.533456325531006
63,31,neg_main_good,-1.737989068031311
63,31,neg_main_bad,-2.17854642868042
63,31,neg_arc_good,-3.5959513187408447
63,31,neg_arc_bad,-2.9712271690368652
64,32,neg_main_good,-2.0759549140930176
64,32,neg_main_bad,-2.584141969680786
64,32,neg_arc_good,-3.106428623199463
64,32,neg_arc_bad,-2.6535909175872803
65,32,neg_main_good,-1.9334657192230225
