item,verb1,verb2,subj,vp1,vp2,prn,name1,name2,continuation,continuation_type,vp,continuation_id
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Which restaurant was it?,lexical overlap,1,1
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,I didn't know the governor likes Greek food.,lexical overlap,1,2
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Where was the restaurant located?,lexical overlap,1,3
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,"Was it only the governor, or were there other people as well?",lexical overlap,1,4
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Is any of them Greek?,lexical overlap,1,5
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Did they take a picture together?,situational inference,1,6
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,I wonder if they talked about educational policies.,situational inference,1,7
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,I thought the two were incompatible.,situational inference,1,8
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,I can see that the election season is coming up.,situational inference,1,9
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Do you know if it was a coincidence?,situational inference,1,10
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,When did the meeting happen?,event association,1,11
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Why did they meet up in the first place?,event association,1,12
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,How did the meeting go?,event association,1,13
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Remind me what kind of meeting this was.,event association,1,14
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,"That's cool, imagine bumping into a public figure!",event association,1,15
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,That kind of humor help us survive in this rough world.,lexical overlap,2,1
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Do you like humorous people?,lexical overlap,2,2
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,"Haha, to be fair, doesn't he find humor in any situations?",lexical overlap,2,3
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,"Humor is difficult to find when you're down, that's quite impressive.",lexical overlap,2,4
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,He must have lots of humorous friends.,lexical overlap,2,5
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,No wonder why people like to be around that teacher!,situational inference,2,6
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Do you know if spending lots of time with students would have helped?,situational inference,2,7
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,I bet that makes the classroom environment much better!,situational inference,2,8
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Do you think that kind of personality just comes naturally?,situational inference,2,9
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,How do you think he keeps that attitude?,situational inference,2,10
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,That's a really good attitude to keep.,event association,2,11
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,Do you to have that kind of positive mindset?,event association,2,12
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,I would rather be grumpy.,event association,2,13
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,"Well, I value people expressing anger than just trying to be positive.",event association,2,14
1,did,does,The teacher,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,he,Erika,Cameron,That's the mindset we need when there are so many crazy things happening in this world.,event association,2,15
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,At which bank?,lexical overlap,1,1
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,She opened another account?,lexical overlap,1,2
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I don't know why people get new bank accounts.,lexical overlap,1,3
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Why did it have to be today?,lexical overlap,1,4
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Opening a new bank accounts sounds like a lot of work.,lexical overlap,1,5
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,She was supposed to go to the City Hall for an interview!,situational inference,1,6
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I believe that was part of her work writing that news article.,situational inference,1,7
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"Do you know if it was for work, or for her personal use?",situational inference,1,8
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I hope she remembers the passcode this time.,situational inference,1,9
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"No way, she doesn't even know how to unlock her phone.",situational inference,1,10
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"I heard that she bought some stocks, too.",event association,1,11
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Do you think she's trying to save more money?,event association,1,12
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I wonder how long that process took.,event association,1,13
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Was there a good deal on the interest rate?,event association,1,14
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Which branch did she go to?,event association,1,15
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,"She goes to other churches, too.",lexical overlap,2,1
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I wonder why specifically at a local church she's doing the volunteering work.,lexical overlap,2,2
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,When did she start to volunteer?,lexical overlap,2,3
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Are you sure she does it regularly?,lexical overlap,2,4
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,How do you know if she volunteers at a local church?,lexical overlap,2,5
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,I find that silly because she needs to work on being a better mom.,situational inference,2,6
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,Is that to get a good reputation by her neighbors?,situational inference,2,7
2,did,does,The reporter,opened a new bank account today,volunteers regularly at a local church,she,Adrian,Autumn,That is very thoughtful for her to spare her free time for that activity.,situational inference,2,8
