idx,item,rejection_id,swapped,type,name1,name2,preamble,no,wait,continuation1,continuation2
1,1,0,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","No,","Wait no,",he did not.,he does not.
2,1,0,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","No,","Wait no,",he does not.,he did not.
3,1,1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","No,","Hey, wait a minute. No,",he did not.,he does not.
4,1,1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","No,","Hey, wait a minute. No,",he does not.,he did not.
5,1,2,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","No,","Hang on a minute. No,",he did not.,he does not.
6,1,2,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","No,","Hang on a minute. No,",he does not.,he did not.
7,1,3,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","Thats not true. No,","Wait no,",he did not.,he does not.
8,1,3,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","Thats not true. No,","Wait no,",he does not.,he did not.
9,1,4,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","Thats not true. No,","Hey, wait a minute. No,",he did not.,he does not.
10,1,4,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","Thats not true. No,","Hey, wait a minute. No,",he does not.,he did not.
11,1,5,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","Thats not true. No,","Hang on a minute. No,",he did not.,he does not.
12,1,5,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","Thats not true. No,","Hang on a minute. No,",he does not.,he did not.
13,1,6,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","Nope,","Wait no,",he did not.,he does not.
14,1,6,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","Nope,","Wait no,",he does not.,he did not.
15,1,7,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","Nope,","Hey, wait a minute. No,",he did not.,he does not.
16,1,7,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","Nope,","Hey, wait a minute. No,",he does not.,he did not.
17,1,8,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.","Nope,","Hang on a minute. No,",he did not.,he does not.
18,1,8,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.","Nope,","Hang on a minute. No,",he does not.,he did not.
19,2,0,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","No,","Wait no,",she did not.,she does not.
20,2,0,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","No,","Wait no,",she does not.,she did not.
21,2,1,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","No,","Hey, wait a minute. No,",she did not.,she does not.
22,2,1,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","No,","Hey, wait a minute. No,",she does not.,she did not.
23,2,2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","No,","Hang on a minute. No,",she did not.,she does not.
24,2,2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","No,","Hang on a minute. No,",she does not.,she did not.
25,2,3,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","Thats not true. No,","Wait no,",she did not.,she does not.
26,2,3,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","Thats not true. No,","Wait no,",she does not.,she did not.
27,2,4,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","Thats not true. No,","Hey, wait a minute. No,",she did not.,she does not.
28,2,4,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","Thats not true. No,","Hey, wait a minute. No,",she does not.,she did not.
29,2,5,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","Thats not true. No,","Hang on a minute. No,",she did not.,she does not.
30,2,5,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","Thats not true. No,","Hang on a minute. No,",she does not.,she did not.
31,2,6,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","Nope,","Wait no,",she did not.,she does not.
32,2,6,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","Nope,","Wait no,",she does not.,she did not.
33,2,7,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","Nope,","Hey, wait a minute. No,",she did not.,she does not.
34,2,7,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","Nope,","Hey, wait a minute. No,",she does not.,she did not.
35,2,8,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.","Nope,","Hang on a minute. No,",she did not.,she does not.
36,2,8,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.","Nope,","Hang on a minute. No,",she does not.,she did not.
37,3,0,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.","No,","Wait no,",he did not.,he does not.
