new_idx,idx,cont_type,cont_target,cont_id,stimuli
0,1,lexical overlap,arc,1,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Which restaurant was it?"""
1,1,lexical overlap,arc,2,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I didn't know the governor likes Greek food."""
2,1,lexical overlap,arc,3,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Where was the restaurant located?"""
3,1,lexical overlap,arc,4,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Was it only the governor, or were there other people as well?"""
4,1,lexical overlap,arc,5,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Is any of them Greek?"""
5,1,situational inference,arc,6,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Did they take a picture together?"""
6,1,situational inference,arc,7,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I wonder if they talked about educational policies."""
7,1,situational inference,arc,8,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I thought the two were incompatible."""
8,1,situational inference,arc,9,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I can see that the election season is coming up."""
9,1,situational inference,arc,10,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Do you know if it was a coincidence?"""
10,1,event association,arc,11,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""When did the meeting happen?"""
11,1,event association,arc,12,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Why did they meet up in the first place?"""
12,1,event association,arc,13,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""How did the meeting go?"""
13,1,event association,arc,14,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Remind me what kind of meeting this was."""
14,1,event association,arc,15,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""That's cool, imagine bumping into a public figure!"""
15,1,lexical overlap,mc,1,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""That kind of humor help us survive in this rough world."""
16,1,lexical overlap,mc,2,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Do you like humorous people?"""
17,1,lexical overlap,mc,3,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Haha, to be fair, doesn't he find humor in any situations?"""
18,1,lexical overlap,mc,4,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Humor is difficult to find when you're down, that's quite impressive."""
19,1,lexical overlap,mc,5,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""He must have lots of humorous friends."""
20,1,situational inference,mc,6,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""No wonder why people like to be around that teacher!"""
21,1,situational inference,mc,7,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Do you know if spending lots of time with students would have helped?"""
22,1,situational inference,mc,8,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I bet that makes the classroom environment much better!"""
23,1,situational inference,mc,9,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Do you think that kind of personality just comes naturally?"""
24,1,situational inference,mc,10,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""How do you think he keeps that attitude?"""
25,1,event association,mc,11,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""That's a really good attitude to keep."""
26,1,event association,mc,12,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Do you to have that kind of positive mindset?"""
27,1,event association,mc,13,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I would rather be grumpy."""
28,1,event association,mc,14,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Well, I value people expressing anger than just trying to be positive."""
29,1,event association,mc,15,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""That's the mindset we need when there are so many crazy things happening in this world."""
30,2,lexical overlap,arc,1,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""At which bank?"""
31,2,lexical overlap,arc,2,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""She opened another account?"""
32,2,lexical overlap,arc,3,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I don't know why people get new bank accounts."""
33,2,lexical overlap,arc,4,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Why did it have to be today?"""
34,2,lexical overlap,arc,5,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Opening a new bank accounts sounds like a lot of work."""
35,2,situational inference,arc,6,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""She was supposed to go to the City Hall for an interview!"""
36,2,situational inference,arc,7,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I believe that was part of her work writing that news article."""
37,2,situational inference,arc,8,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Do you know if it was for work, or for her personal use?"""
38,2,situational inference,arc,9,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I hope she remembers the passcode this time."""
39,2,situational inference,arc,10,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""No way, she doesn't even know how to unlock her phone."""
40,2,event association,arc,11,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I heard that she bought some stocks, too."""
41,2,event association,arc,12,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Do you think she's trying to save more money?"""
42,2,event association,arc,13,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I wonder how long that process took."""
43,2,event association,arc,14,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Was there a good deal on the interest rate?"""
44,2,event association,arc,15,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Which branch did she go to?"""
45,2,lexical overlap,mc,1,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""She goes to other churches, too."""
46,2,lexical overlap,mc,2,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I wonder why specifically at a local church she's doing the volunteering work."""
47,2,lexical overlap,mc,3,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""When did she start to volunteer?"""
48,2,lexical overlap,mc,4,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Are you sure she does it regularly?"""
49,2,lexical overlap,mc,5,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""How do you know if she volunteers at a local church?"""
50,2,situational inference,mc,6,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I find that silly because she needs to work on being a better mom."""
51,2,situational inference,mc,7,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Is that to get a good reputation by her neighbors?"""
52,2,situational inference,mc,8,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""That is very thoughtful for her to spare her free time for that activity."""
53,2,situational inference,mc,9,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""I bet that would also give her some ideas to write."""
54,2,situational inference,mc,10,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Huh, I thought she was a cold-blooded lady."""
55,2,event association,mc,11,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Didn't her mother make donations, too?"""
56,2,event association,mc,12,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""She also works at an orphanage, I believe."""
57,2,event association,mc,13,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""Doesn't she also run an adoption campaign?"""
58,2,event association,mc,14,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""That's great because I think it's important to give back to the community."""
59,2,event association,mc,15,"Adrian said, ""The reporter, who opened a new bank account today, volunteers regularly at a local church."" Autumn replied, ""That's a good way to keep work-life balance."""
60,3,lexical overlap,arc,1,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""How did she miss the train?"""
61,3,lexical overlap,arc,2,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Missing a train is definitely not a good start!"""
62,3,lexical overlap,arc,3,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Too bad, trains in Chicago can be quite unpredictable."""
63,3,lexical overlap,arc,4,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Well it's not just this morning."""
64,3,lexical overlap,arc,5,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""The same thing happened to me this morning."""
65,3,situational inference,arc,6,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Did she ever make it to the lab?"""
66,3,situational inference,arc,7,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I thought she drives to campus."""
67,3,situational inference,arc,8,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""So how did she come to office?"""
68,3,situational inference,arc,9,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Did she oversleep or what?"""
69,3,situational inference,arc,10,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I hope she didn't have any important meetings."""
70,3,event association,arc,11,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Was there a delay?"""
71,3,event association,arc,12,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I wonder she had to wait for the next one for a long time."""
72,3,event association,arc,13,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I bet she was rushing to the platform."""
73,3,event association,arc,14,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Did she catch the next one?"""
74,3,event association,arc,15,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I hope it didn't mess up the schedule too much."""
75,3,lexical overlap,mc,1,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""That's a lot of wine."""
76,3,lexical overlap,mc,2,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Well she used to have three bottles a day six months ago."""
77,3,lexical overlap,mc,3,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Does she drink white wine, or red wine?"""
78,3,lexical overlap,mc,4,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Every day?"""
79,3,lexical overlap,mc,5,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Two bottles?"""
80,3,situational inference,mc,6,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""She should see a therapist."""
81,3,situational inference,mc,7,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I wonder if that's a cry for help."""
82,3,situational inference,mc,8,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Is she French?"""
83,3,situational inference,mc,9,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""Maybe that's the secret for a productive life."""
84,3,situational inference,mc,10,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""How is she so healthy?"""
85,3,event association,mc,11,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""But she already drinks two cans of beer every night."""
86,3,event association,mc,12,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I somehow thought that she was allergic to alcohol."""
87,3,event association,mc,13,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I should bring some cheese for her then."""
88,3,event association,mc,14,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""I can't even finish a glass."""
89,3,event association,mc,15,"Alexander said, ""The professor, who missed a train this morning, drinks two bottles of wine every day."" Anthony replied, ""It sounds like she has an unhealthy drinking habit."""
90,4,lexical overlap,arc,1,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""Having a bad dream is not new to him."""
91,4,lexical overlap,arc,2,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""He has so many dreams in general."""
92,4,lexical overlap,arc,3,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""What was the dream about, do you know?"""
93,4,lexical overlap,arc,4,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""He needs a dream catcher."""
94,4,lexical overlap,arc,5,"Owen said, ""The sculptor, who had a bad dream, has a pianist friend."" John replied, ""He had a bad dream?"""
